Year,Period,Start,End,Days,Bus cash (000s),Bus Oyster PAYG (000s),Bus Contactless (000s),Bus One Day Bus Pass (000s),Bus Day Travelcard (000s),Bus Bus Pass Season (000s),Bus Season Travelcard (000s),Bus Other incl free (000s),Bus Total (000s),Tube Cash (000s),Tube Oyster PAYG (000s),Tube Contactless (000s),Tube Day Travelcard (000s),Tube Season Travelcard (000s),Tube Other incl free (000s),Tube Total (000s),TfL Rail (000s),Overground (000s),DLR (000s),Tram (000s),Air Line (000s)
2003/04,P 09,09 Nov '03,06 Dec '03,28d,919,0,0,543,233,1828,560,913,4996,595,0,0,713,1194,269,2771,0,0,142,54.9,0
2003/04,P 10,07 Dec '03,03 Jan '04,28d,862,0,0,586,233,1325,423,850,4279,513,0,0,710,899,222,2344,0,0,108,53.9,0
2003/04,P 11,04 Jan '04,31 Jan '04,28d,746,0,0,504,219,1873,605,920,4868,501,21,0,669,1289,121,2602,0,0,138,53,0
2003/04,P 12,01 Feb '04,28 Feb '04,28d,726,0,0,445,238,1801,600,890,4701,501,37,0,726,1282,94,2639,0,0,138,52.1,0
2003/04,P 13,29 Feb '04,31 Mar '04,32d,722,0,0,427,241,1920,608,812,4730,512,58,0,685,1326,73,2655,0,0,139,47.6,0
2004/05,P 01,01 Apr '04,01 May '04,31d,788,0,0,468,244,1789,569,728,4587,423,59,0,731,1261,133,2606,0,0,133,54.8,0
2004/05,P 02,02 May '04,29 May '04,28d,802,5,0,460,232,1995,663,822,4980,437,65,0,695,1304,155,2656,0,0,136,52.7,0
2004/05,P 03,30 May '04,26 Jun '04,28d,818,15,0,480,245,1908,633,812,4912,440,66,0,733,1241,145,2624,0,0,133,52.4,0
2004/05,P 04,27 Jun '04,24 Jul '04,28d,813,23,0,507,257,1867,631,828,4926,433,68,0,766,1241,158,2666,0,0,139,51.3,0
2004/05,P 05,25 Jul '04,21 Aug '04,28d,782,28,0,512,262,1621,595,778,4578,398,68,0,781,1172,128,2548,0,0,130,50,0
2004/05,P 06,22 Aug '04,18 Sep '04,28d,793,33,0,515,254,1804,611,806,4815,419,71,0,758,1199,136,2584,0,0,133,52.5,0
2004/05,P 07,19 Sep '04,16 Oct '04,28d,808,41,0,505,255,2156,678,821,5265,453,73,0,760,1331,142,2759,0,0,142,50.3,0
2004/05,P 08,17 Oct '04,13 Nov '04,28d,780,45,0,488,275,2098,714,807,5208,452,75,0,818,1389,131,2865,0,0,151,57.1,0
2004/05,P 09,14 Nov '04,11 Dec '04,28d,782,49,0,433,267,2098,733,810,5173,460,80,0,796,1430,126,2893,0,0,149,58.7,0
2004/05,P 10,12 Dec '04,08 Jan '05,28d,715,43,0,470,246,1659,560,784,4478,375,67,0,724,1086,112,2364,0,0,113,57,0
2004/05,P 11,09 Jan '05,05 Feb '05,28d,681,70,0,395,217,2044,721,813,4941,418,94,0,642,1408,133,2695,0,0,144,51.1,0
2004/05,P 12,06 Feb '05,05 Mar '05,28d,664,83,0,413,236,2031,733,803,4962,422,105,0,697,1433,121,2778,0,0,143,52.1,0
2004/05,P 13,06 Mar '05,31 Mar '05,26d,644,88,0,401,234,1932,720,852,4872,413,113,0,688,1382,135,2730,0,0,138,46,0
2005/06,P 01,01 Apr '05,30 Apr '05,30d,664,102,0,425,238,1994,720,777,4919,413,120,0,711,1382,100,2726,0,0,154,53.1,0
2005/06,P 02,01 May '05,28 May '05,28d,647,111,0,395,227,2023,771,841,5017,415,140,0,677,1420,119,2770,0,0,146,57.5,0
2005/06,P 03,29 May '05,25 Jun '05,28d,637,116,0,414,234,1931,748,836,4915,409,145,0,693,1379,100,2725,0,0,144,55.7,0
2005/06,P 04,26 Jun '05,23 Jul '05,28d,649,122,0,455,205,1955,738,856,4980,363,131,0,607,1359,97,2557,0,0,139,55.6,0
2005/06,P 05,24 Jul '05,20 Aug '05,28d,594,121,0,448,181,1668,667,832,4512,305,125,0,531,1227,103,2290,0,0,130,50.1,0
2005/06,P 06,21 Aug '05,17 Sep '05,28d,564,130,0,402,202,1701,683,995,4677,353,150,0,596,1259,95,2453,0,0,132,53.4,0
2005/06,P 07,18 Sep '05,15 Oct '05,28d,543,162,0,309,209,1920,755,1211,5108,392,198,0,620,1398,124,2731,0,0,147,62.9,0
2005/06,P 08,16 Oct '05,12 Nov '05,28d,522,183,0,282,221,1898,832,1234,5172,383,228,0,665,1429,114,2818,0,0,150,61.8,0
2005/06,P 09,13 Nov '05,10 Dec '05,28d,513,195,0,279,217,1929,861,1266,5261,396,249,0,657,1478,99,2879,0,0,163,64.2,0
2005/06,P 10,11 Dec '05,07 Jan '06,28d,470,183,0,269,201,1551,662,1240,4577,290,208,0,602,1145,96,2342,0,0,127,52.2,0
2005/06,P 11,08 Jan '06,04 Feb '06,28d,378,313,0,218,180,1730,879,1388,5085,195,355,0,564,1423,99,2636,0,0,155,61.5,0
2005/06,P 12,05 Feb '06,04 Mar '06,28d,355,375,0,223,196,1650,899,1347,5045,187,401,0,612,1456,98,2753,0,0,157,60.3,0
2005/06,P 13,05 Mar '06,31 Mar '06,27d,336,417,0,217,182,1656,951,1409,5169,185,425,0,603,1517,97,2827,0,0,164,62.1,0
2006/07,P 01,01 Apr '06,29 Apr '06,29d,331,447,0,244,179,1304,1045,1373,4923,169,434,0,612,1191,115,2521,0,0,157,57.8,0
2006/07,P 02,30 Apr '06,27 May '06,28d,324,504,0,224,161,1412,1161,1402,5188,174,484,0,572,1356,114,2701,0,0,163,62.2,0
2006/07,P 03,28 May '06,24 Jun '06,28d,328,527,0,231,162,1357,1126,1402,5133,171,476,0,576,1316,113,2653,0,0,163,63.4,0
2006/07,P 04,25 Jun '06,22 Jul '06,28d,338,560,0,243,173,1372,1149,1390,5225,181,510,0,617,1344,114,2765,0,0,170,66.2,0
2006/07,P 05,23 Jul '06,19 Aug '06,28d,316,563,0,222,170,1212,1096,1380,4960,156,483,0,603,1281,109,2633,0,0,167,63.9,0
2006/07,P 06,20 Aug '06,16 Sep '06,28d,312,619,0,215,163,1168,1089,1380,4947,154,528,0,580,1274,110,2648,0,0,160,69.9,0
2006/07,P 07,17 Sep '06,14 Oct '06,28d,305,700,0,195,161,1288,1190,1476,5315,164,648,0,580,1391,114,2898,0,0,176,74,0
2006/07,P 08,15 Oct '06,11 Nov '06,28d,292,707,0,189,172,1238,1234,1570,5401,160,649,0,618,1441,111,2980,0,0,180,74.7,0
2006/07,P 09,12 Nov '06,09 Dec '06,28d,282,715,0,172,166,1204,1262,1568,5368,162,673,0,602,1472,112,3020,0,0,180,70.4,0
2006/07,P 10,10 Dec '06,06 Jan '07,28d,261,638,0,171,155,879,987,1533,4625,127,584,0,549,1170,110,2539,0,0,137,63.4,0
2006/07,P 11,07 Jan '07,03 Feb '07,28d,178,751,0,176,136,1199,1220,1654,5314,108,690,0,492,1412,102,2805,0,0,174,70.9,0
2006/07,P 12,04 Feb '07,03 Mar '07,28d,163,789,0,177,150,1243,1250,1655,5427,109,709,0,543,1430,110,2901,0,0,176,72.1,0
2006/07,P 13,04 Mar '07,31 Mar '07,28d,147,814,0,178,145,1297,1270,1679,5529,115,736,0,535,1459,111,2955,0,0,181,75.2,0
2007/08,P 01,01 Apr '07,28 Apr '07,28d,164,812,0,214,132,1140,1418,1993,5874,109,696,0,566,1286,117,2773,0,0,175,67.5,0
2007/08,P 02,29 Apr '07,26 May '07,28d,160,853,0,199,122,1208,1498,1986,6026,111,748,0,534,1332,118,2843,0,0,177,73.2,0
2007/08,P 03,27 May '07,23 Jun '07,28d,159,872,0,195,125,1179,1492,1923,5944,111,751,0,545,1333,118,2858,0,0,177,69.5,0
2007/08,P 04,24 Jun '07,21 Jul '07,28d,164,911,0,207,133,1195,1535,1838,5983,118,799,0,582,1384,119,3002,0,0,182,72.5,0
2007/08,P 05,22 Jul '07,18 Aug '07,28d,155,887,0,219,136,1115,1474,1837,5824,105,746,0,592,1331,119,2893,0,0,181,68.6,0
2007/08,P 06,19 Aug '07,15 Sep '07,28d,154,925,0,199,126,1101,1465,1864,5833,98,719,0,547,1305,117,2787,0,0,170,66.7,0
2007/08,P 07,16 Sep '07,13 Oct '07,28d,155,1001,0,187,125,1209,1531,2030,6238,106,880,0,547,1392,118,3043,0,0,188,76.9,0
2007/08,P 08,14 Oct '07,10 Nov '07,28d,147,1009,0,169,133,1218,1537,1998,6211,105,886,0,581,1432,119,3124,0,0,192,75.9,0
2007/08,P 09,11 Nov '07,08 Dec '07,28d,142,1000,0,162,130,1254,1526,2031,6246,105,922,0,570,1453,119,3168,0,0,195,76.6,0
2007/08,P 10,09 Dec '07,05 Jan '08,28d,136,909,0,145,121,961,1142,1691,5106,96,763,0,522,1142,117,2641,0,0,152,65.2,0
2007/08,P 11,06 Jan '08,02 Feb '08,28d,128,1022,0,141,110,1224,1436,1990,6052,105,890,0,482,1346,117,2939,0,0,200,74.6,0
2007/08,P 12,03 Feb '08,01 Mar '08,28d,125,1037,0,140,123,1251,1458,2033,6168,109,910,0,535,1375,118,3047,0,0,195,76.5,0
2007/08,P 13,02 Mar '08,31 Mar '08,30d,121,1009,0,134,117,1206,1383,1815,5785,124,843,0,506,1328,136,2938,0,0,180,71.5,0
2008/09,P 01,01 Apr '08,26 Apr '08,26d,127,1065,0,136,128,1274,1434,2070,6233,93,927,0,537,1387,127,3071,366,96,195,75.8,0
2008/09,P 02,27 Apr '08,24 May '08,28d,125,1081,0,139,121,1320,1424,2045,6254,94,926,0,508,1338,126,2992,358,95,186,76.6,0
2008/09,P 03,25 May '08,21 Jun '08,28d,131,1105,0,143,124,1293,1390,1990,6175,91,927,0,521,1303,126,2969,358,95,188,74.9,0
2008/09,P 04,22 Jun '08,19 Jul '08,28d,134,1122,0,152,133,1353,1417,1970,6280,102,978,0,559,1317,127,3082,364,98,187,79.2,0
2008/09,P 05,20 Jul '08,16 Aug '08,28d,127,1111,0,141,136,1264,1356,1954,6089,90,901,0,566,1262,125,2944,347,89,186,71.5,0
2008/09,P 06,17 Aug '08,13 Sep '08,28d,110,1117,0,123,125,1247,1292,1965,5980,85,923,0,522,1231,126,2886,319,86,161,72.8,0
2008/09,P 07,14 Sep '08,11 Oct '08,28d,108,1217,0,123,119,1372,1399,2173,6511,92,1050,0,499,1322,126,3089,344,90,173,81,0
2008/09,P 08,12 Oct '08,08 Nov '08,28d,105,1220,0,111,129,1359,1406,2085,6414,92,1064,0,536,1354,126,3172,355,91,186,78,0
2008/09,P 09,09 Nov '08,06 Dec '08,28d,98,1208,0,104,120,1369,1413,2125,6437,90,1086,0,505,1362,126,3169,359,93,187,78.8,0
2008/09,P 10,07 Dec '08,03 Jan '09,28d,103,1092,0,98,116,1063,1051,1759,5282,82,912,0,480,1016,125,2615,284,80,138,66.2,0
2008/09,P 11,04 Jan '09,31 Jan '09,28d,91,1140,0,82,99,1304,1289,2048,6053,76,1013,0,410,1276,125,2901,349,96,180,73.4,0
2008/09,P 12,01 Feb '09,28 Feb '09,28d,93,1135,0,63,108,1264,1271,2005,5940,81,1017,0,448,1274,125,2945,339,88,188,63.8,0
2008/09,P 13,01 Mar '09,31 Mar '09,31d,94,1156,0,62,106,1404,1358,2145,6325,85,1059,0,433,1377,125,3078,366,93,197,76.6,0
2009/10,P 01,01 Apr '09,02 May '09,32d,99,1183,0,68,124,1314,1202,2107,6099,83,997,0,516,1131,125,2852,348,83,191,73.4,0
2009/10,P 02,03 May '09,30 May '09,28d,99,1182,0,77,117,1353,1233,2178,6240,82,1000,0,490,1182,125,2879,341,83,184,73.9,0
2009/10,P 03,31 May '09,27 Jun '09,28d,102,1255,0,77,111,1430,1263,2360,6597,83,979,0,459,1144,125,2789,357,87,191,78.4,0
2009/10,P 04,28 Jun '09,25 Jul '09,28d,106,1242,0,82,127,1397,1220,2164,6338,91,1037,0,530,1146,126,2930,358,89,195,74.1,0
2009/10,P 05,26 Jul '09,22 Aug '09,28d,103,1191,0,87,126,1307,1163,1753,5729,79,956,0,524,1085,124,2768,339,84,189,65.4,0
2009/10,P 06,23 Aug '09,19 Sep '09,28d,101,1225,0,80,116,1352,1138,2184,6197,79,1004,0,483,1078,125,2770,333,86,180,67.4,0
2009/10,P 07,20 Sep '09,17 Oct '09,28d,103,1330,0,76,117,1493,1241,2323,6684,86,1136,0,488,1183,126,3019,372,95,202,75,0
2009/10,P 08,18 Oct '09,14 Nov '09,28d,98,1285,0,83,130,1467,1256,2084,6402,84,1133,0,545,1214,126,3102,378,99,205,74.3,0
2009/10,P 09,15 Nov '09,12 Dec '09,28d,96,1285,0,69,126,1490,1271,2237,6574,86,1192,0,526,1227,126,3156,386,101,208,76.7,0
2009/10,P 10,13 Dec '09,09 Jan '10,28d,99,1133,0,31,103,1104,914,1543,4928,68,949,0,426,916,124,2482,286,80,145,61.3,0
2009/10,P 11,10 Jan '10,06 Feb '10,28d,101,1252,0,0,98,1406,1229,2114,6199,72,1156,0,410,1211,125,2974,346,98,174,74.4,0
2009/10,P 12,07 Feb '10,06 Mar '10,28d,103,1266,0,0,113,1401,1267,2068,6219,78,1173,0,474,1242,125,3091,374,95,206,72.9,0
2009/10,P 13,07 Mar '10,31 Mar '10,25d,103,1275,0,0,107,1446,1295,2283,6509,81,1160,0,450,1325,125,3142,370,87,205,77.1,0
2010/11,P 01,01 Apr '10,01 May '10,31d,110,1256,0,0,105,1338,1199,2070,6078,75,1079,0,471,1164,132,2921,380,104,203,73.8,0
2010/11,P 02,02 May '10,29 May '10,28d,110,1284,0,0,100,1420,1262,2267,6443,79,1126,0,459,1222,132,3018,413,128,208,77,0
2010/11,P 03,30 May '10,26 Jun '10,28d,115,1288,0,0,103,1394,1249,2169,6318,81,1134,0,471,1192,133,3010,432,150,205,76,0
2010/11,P 04,27 Jun '10,24 Jul '10,28d,122,1319,0,0,109,1421,1282,2271,6524,87,1154,0,497,1217,133,3089,461,168,217,76.5,0
2010/11,P 05,25 Jul '10,21 Aug '10,28d,119,1257,0,0,116,1294,1229,1760,5774,77,1067,0,523,1161,131,2961,445,167,206,71.7,0
2010/11,P 06,22 Aug '10,18 Sep '10,28d,120,1303,0,0,104,1324,1222,2193,6266,75,1067,0,471,1143,132,2888,439,169,197,72.4,0
2010/11,P 07,19 Sep '10,16 Oct '10,28d,125,1374,0,0,106,1446,1341,2387,6779,82,1208,0,481,1263,133,3167,497,191,225,81.2,0
2010/11,P 08,17 Oct '10,13 Nov '10,28d,122,1351,0,0,114,1409,1368,2127,6491,79,1194,0,521,1297,133,3224,514,201,241,78.8,0
2010/11,P 09,14 Nov '10,11 Dec '10,28d,119,1320,0,0,104,1385,1371,2127,6425,78,1228,0,480,1317,133,3235,508,194,230,81.9,0
2010/11,P 10,12 Dec '10,08 Jan '11,28d,118,1197,0,0,87,1055,989,1584,5029,65,1003,0,389,1003,130,2590,390,124,173,66,0
2010/11,P 11,09 Jan '11,05 Feb '11,28d,94,1302,0,0,78,1386,1325,2203,6387,71,1177,0,353,1285,130,3016,490,187,223,76.5,0
2010/11,P 12,06 Feb '11,05 Mar '11,28d,95,1315,0,0,91,1388,1355,2136,6379,75,1207,0,413,1310,130,3135,497,184,231,79.4,0
2010/11,P 13,06 Mar '11,31 Mar '11,26d,92,1321,0,0,86,1446,1390,2354,6689,81,1207,0,421,1370,131,3211,506,225,232,81.9,0
2011/12,P 01,01 Apr '11,30 Apr '11,30d,97,1313,0,0,92,1293,1243,2014,6054,76,1129,0,433,1257,146,3041,493,209,214,70.4,0
2011/12,P 02,01 May '11,28 May '11,28d,94,1350,0,0,80,1396,1315,2319,6559,78,1203,0,396,1312,146,3135,536,230,226,80.1,0
2011/12,P 03,29 May '11,25 Jun '11,28d,96,1357,0,0,87,1371,1308,2186,6406,80,1220,0,431,1297,147,3175,544,248,217,78.8,0
2011/12,P 04,26 Jun '11,23 Jul '11,28d,100,1394,0,0,96,1407,1343,2258,6598,90,1277,0,475,1315,147,3303,581,271,229,81.5,0
2011/12,P 05,24 Jul '11,20 Aug '11,28d,97,1304,0,0,90,1260,1279,1683,5714,77,1137,0,442,1255,145,3055,562,273,220,68.8,0
2011/12,P 06,21 Aug '11,17 Sep '11,28d,96,1356,0,0,82,1284,1257,2075,6152,74,1188,0,405,1232,146,3046,581,274,230,76.8,0
2011/12,P 07,18 Sep '11,15 Oct '11,28d,101,1458,0,0,83,1445,1408,2337,6832,80,1313,0,411,1376,147,3326,661,311,266,84.4,0
2011/12,P 08,16 Oct '11,12 Nov '11,28d,94,1419,0,0,91,1394,1438,2113,6552,78,1320,0,458,1420,147,3423,657,314,260,82.4,0
2011/12,P 09,13 Nov '11,10 Dec '11,28d,90,1409,0,0,90,1404,1451,2254,6698,77,1356,0,452,1436,147,3467,661,322,254,85.6,0
2011/12,P 10,11 Dec '11,07 Jan '12,28d,91,1306,0,0,79,1098,1081,1698,5354,64,1125,0,389,1107,145,2831,502,246,187,68.8,0
2011/12,P 11,08 Jan '12,04 Feb '12,28d,75,1352,0,0,70,1357,1372,2183,6411,67,1271,0,347,1377,145,3207,637,311,246,80.3,0
2011/12,P 12,05 Feb '12,03 Mar '12,28d,77,1367,0,0,78,1340,1400,2080,6345,70,1273,0,389,1389,146,3266,638,315,250,72.4,0
2011/12,P 13,04 Mar '12,31 Mar '12,28d,77,1401,0,0,78,1413,1425,2350,6747,76,1300,0,390,1398,146,3311,669,325,260,83.8,0
2012/13,P 01,01 Apr '12,28 Apr '12,28d,79,1370,0,0,72,1263,1292,1982,6061,74,1249,0,418,1276,150,3167,630,305,249,76.7,0
2012/13,P 02,29 Apr '12,26 May '12,28d,78,1420,0,0,68,1375,1393,2324,6660,75,1309,0,398,1375,150,3307,663,317,263,83.5,0
2012/13,P 03,27 May '12,23 Jun '12,28d,78,1382,0,0,70,1286,1294,2109,6220,74,1316,0,398,1265,151,3203,632,306,248,77.8,0
2012/13,P 04,24 Jun '12,21 Jul '12,28d,83,1463,0,0,73,1373,1401,2278,6682,80,1382,0,422,1417,160,3461,697,317,283,88.9,8.4
2012/13,P 05,22 Jul '12,18 Aug '12,28d,78,1386,0,0,79,1218,1300,1759,5906,68,1299,0,438,1308,566,3678,857,375,380,83.1,19.1
2012/13,P 06,19 Aug '12,15 Sep '12,28d,80,1419,0,0,70,1247,1274,2105,6232,71,1298,0,402,1274,311,3356,758,351,310,83.9,13.6
2012/13,P 07,16 Sep '12,13 Oct '12,28d,84,1508,0,0,69,1395,1435,2362,6857,77,1418,0,401,1460,151,3506,715,345,275,89.2,5.8
2012/13,P 08,14 Oct '12,10 Nov '12,28d,81,1476,0,0,76,1357,1463,2105,6559,76,1412,0,440,1506,152,3587,720,352,284,77.6,6.5
2012/13,P 09,11 Nov '12,08 Dec '12,28d,75,1432,0,0,72,1366,1466,2245,6659,74,1438,0,419,1550,159,3640,723,357,274,88,4.3
2012/13,P 10,09 Dec '12,05 Jan '13,28d,79,1336,3,0,68,1070,1102,1733,5395,62,1195,0,395,1012,157,2821,571,293,205,72.8,3.9
2012/13,P 11,06 Jan '13,02 Feb '13,28d,66,1385,7,0,54,1278,1380,2131,6302,62,1304,0,308,1442,160,3276,705,364,259,82.6,2.6
2012/13,P 12,03 Feb '13,02 Mar '13,28d,67,1399,9,0,66,1300,1418,2119,6380,69,1356,0,380,1486,162,3453,738,383,270,84.2,4.2
2012/13,P 13,03 Mar '13,31 Mar '13,29d,67,1375,11,0,61,1291,1386,2188,6381,72,1321,0,359,1416,163,3331,719,371,262,82.6,2.7
2013/14,P 01,01 Apr '13,27 Apr '13,27d,70,1408,15,0,72,1272,1438,2082,6357,103,1285,0,424,1386,213,3411,753,381,283,84.7,5.1
2013/14,P 02,28 Apr '13,25 May '13,28d,71,1429,17,0,69,1342,1436,2376,6742,103,1320,0,401,1420,226,3470,744,369,282,88.3,4.6
2013/14,P 03,26 May '13,22 Jun '13,28d,73,1422,18,0,69,1312,1407,2250,6554,105,1317,0,400,1376,226,3424,754,389,274,85.2,5.1
2013/14,P 04,23 Jun '13,20 Jul '13,28d,79,1461,20,0,77,1360,1449,2347,6792,117,1361,0,445,1444,234,3601,786,404,286,90,5.4
2013/14,P 05,21 Jul '13,17 Aug '13,28d,76,1398,20,0,77,1213,1373,1780,5940,104,1249,0,442,1364,202,3361,734,378,269,80,7
