date,hospitalCases
24/07/2020,1454
25/07/2020,1402
26/07/2020,1384
27/07/2020,1371
28/07/2020,1370
29/07/2020,1351
30/07/2020,1315
31/07/2020,1267
01/08/2020,1291
02/08/2020,1255
03/08/2020,1253
04/08/2020,1218
05/08/2020,1202
06/08/2020,1157
07/08/2020,1096
08/08/2020,1029
09/08/2020,985
10/08/2020,1089
11/08/2020,1041
12/08/2020,1006
13/08/2020,1010
14/08/2020,997
15/08/2020,976
16/08/2020,981
17/08/2020,984
18/08/2020,955
19/08/2020,926
20/08/2020,911
21/08/2020,890
22/08/2020,945
23/08/2020,872
24/08/2020,878
25/08/2020,846
26/08/2020,831
27/08/2020,842
28/08/2020,820
29/08/2020,835
30/08/2020,833
31/08/2020,856
01/09/2020,863
02/09/2020,805
03/09/2020,819
04/09/2020,820
05/09/2020,814
06/09/2020,819
07/09/2020,904
08/09/2020,896
09/09/2020,926
10/09/2020,946
11/09/2020,772
12/09/2020,814
13/09/2020,845
14/09/2020,984
15/09/2020,1068
16/09/2020,1108
17/09/2020,1164
18/09/2020,1223
19/09/2020,1302
20/09/2020,1400
21/09/2020,1560
22/09/2020,1638
23/09/2020,1732
24/09/2020,1848
25/09/2020,2022
26/09/2020,2035
27/09/2020,2190
28/09/2020,2401
29/09/2020,2422
30/09/2020,2532
01/10/2020,2594
02/10/2020,2725
03/10/2020,2869
04/10/2020,3058
05/10/2020,3372
06/10/2020,3644
07/10/2020,3895
08/10/2020,4087
09/10/2020,4172
10/10/2020,4360
11/10/2020,4672
12/10/2020,4961
13/10/2020,5295
14/10/2020,5600
15/10/2020,5935
16/10/2020,6298
17/10/2020,6547
18/10/2020,6832
19/10/2020,7337
20/10/2020,7855
21/10/2020,8135
22/10/2020,8314
23/10/2020,8889
24/10/2020,9265
25/10/2020,9789
26/10/2020,10111
27/10/2020,10941
28/10/2020,11437
29/10/2020,11586
30/10/2020,11791
31/10/2020,12313
01/11/2020,12233
02/11/2020,13108
03/11/2020,13752
04/11/2020,13820
05/11/2020,13799
06/11/2020,13961
07/11/2020,14317
08/11/2020,14549
09/11/2020,15144
10/11/2020,14967
11/11/2020,15669
12/11/2020,15882
13/11/2020,16239
14/11/2020,16302
15/11/2020,16867
16/11/2020,17316
17/11/2020,17442
18/11/2020,17489
19/11/2020,17462
20/11/2020,17187
21/11/2020,17066
22/11/2020,17267
23/11/2020,17684
24/11/2020,17427
25/11/2020,17135
26/11/2020,16765
27/11/2020,16574
28/11/2020,15988
29/11/2020,16316
30/11/2020,16568
01/12/2020,16315
02/12/2020,15980
03/12/2020,15661
04/12/2020,15730
05/12/2020,15691
06/12/2020,15963
07/12/2020,16418
08/12/2020,16480
09/12/2020,16334
10/12/2020,16726
11/12/2020,16888
12/12/2020,16912
13/12/2020,17541
14/12/2020,18249
15/12/2020,18219
16/12/2020,18674
17/12/2020,18973
18/12/2020,19120
19/12/2020,19466
20/12/2020,20007
21/12/2020,21136
22/12/2020,21491
23/12/2020,21225
24/12/2020,21580
25/12/2020,20921
26/12/2020,21733
27/12/2020,22767
28/12/2020,24052
29/12/2020,25552
30/12/2020,26554
31/12/2020,26581
01/01/2021,26393
02/01/2021,27565
03/01/2021,29037
04/01/2021,30779
05/01/2021,30690
06/01/2021,31950
07/01/2021,32587
08/01/2021,33782
09/01/2021,34036
10/01/2021,35395
11/01/2021,36755
12/01/2021,36985
13/01/2021,37491
14/01/2021,37696
15/01/2021,38137
16/01/2021,37719
17/01/2021,38173
18/01/2021,39258
19/01/2021,38850
20/01/2021,38743
21/01/2021,38063
22/01/2021,38262
23/01/2021,37402
24/01/2021,37734
25/01/2021,37760
26/01/2021,37105
27/01/2021,35517
28/01/2021,34913
29/01/2021,33851
30/01/2021,33019
31/01/2021,32589
01/02/2021,32963
02/02/2021,31769
03/02/2021,30607
04/02/2021,29416
05/02/2021,28386
06/02/2021,26917
07/02/2021,26803
08/02/2021,26747
09/02/2021,25692
10/02/2021,24420
11/02/2021,23414
12/02/2021,22327
13/02/2021,20973
14/02/2021,21057
15/02/2021,20997
16/02/2021,20218
17/02/2021,19452
18/02/2021,18525
19/02/2021,17863
20/02/2021,17045
21/02/2021,16860
22/02/2021,16858
23/02/2021,16118
24/02/2021,15537
25/02/2021,14852
26/02/2021,14080
27/02/2021,13272
28/02/2021,12791
01/03/2021,12897
02/03/2021,12142
03/03/2021,11526
04/03/2021,10936
05/03/2021,10315
06/03/2021,9714
07/03/2021,9462
08/03/2021,9477
09/03/2021,9012
10/03/2021,8439
11/03/2021,8070
12/03/2021,7732
13/03/2021,7388
14/03/2021,7320
15/03/2021,7211
16/03/2021,6850
17/03/2021,6588
18/03/2021,6153
19/03/2021,5883
20/03/2021,5570
21/03/2021,5451
22/03/2021,5434
23/03/2021,5153
24/03/2021,4883
25/03/2021,4586
26/03/2021,4488
27/03/2021,4439
28/03/2021,4188
29/03/2021,4200
30/03/2021,3979
31/03/2021,3745
01/04/2021,3560
02/04/2021,3379
03/04/2021,3247
04/04/2021,3232
05/04/2021,3258
06/04/2021,3146
07/04/2021,3022
08/04/2021,2875
09/04/2021,2796
10/04/2021,2654
11/04/2021,2553
12/04/2021,2496
13/04/2021,2412
14/04/2021,2298
15/04/2021,2198
16/04/2021,2143
17/04/2021,2038
18/04/2021,1986
19/04/2021,2010
20/04/2021,1929
21/04/2021,1896
22/04/2021,1794
23/04/2021,1752
24/04/2021,1676
25/04/2021,1629
26/04/2021,1652
27/04/2021,1575
28/04/2021,1518
29/04/2021,1467
30/04/2021,1369
01/05/2021,1290
02/05/2021,1288
03/05/2021,1306
04/05/2021,1299
05/05/2021,1243
06/05/2021,1163
07/05/2021,1161
08/05/2021,1141
09/05/2021,1122
10/05/2021,1133
11/05/2021,1110
12/05/2021,1073
13/05/2021,1006
14/05/2021,982
15/05/2021,972
16/05/2021,947
17/05/2021,949
18/05/2021,904
19/05/2021,923
20/05/2021,917
21/05/2021,927
22/05/2021,892
23/05/2021,929
24/05/2021,965
25/05/2021,926
26/05/2021,900
27/05/2021,877
28/05/2021,891
29/05/2021,892
30/05/2021,912
31/05/2021,934
01/06/2021,935
02/06/2021,966
03/06/2021,943
04/06/2021,970
05/06/2021,943
06/06/2021,969
07/06/2021,1040
08/06/2021,1062
09/06/2021,1069
10/06/2021,1100
11/06/2021,1082
12/06/2021,1111
13/06/2021,1146
14/06/2021,1187
15/06/2021,1238
16/06/2021,1263
17/06/2021,1328
18/06/2021,1370
19/06/2021,1355
20/06/2021,1390
21/06/2021,1524
22/06/2021,1548
23/06/2021,1502
24/06/2021,1523
25/06/2021,1545
26/06/2021,1551
27/06/2021,1612
28/06/2021,1750
29/06/2021,1753
30/06/2021,1832
01/07/2021,1942
02/07/2021,2019
03/07/2021,2063
04/07/2021,2182
05/07/2021,2370
06/07/2021,2492
07/07/2021,2687
08/07/2021,2774
09/07/2021,2945
10/07/2021,3042
11/07/2021,3188
12/07/2021,3464
13/07/2021,3679
14/07/2021,3863
15/07/2021,4044
16/07/2021,4157
17/07/2021,4237
18/07/2021,4353
19/07/2021,4657
20/07/2021,4750
21/07/2021,4938
22/07/2021,5109
23/07/2021,5319
24/07/2021,5386
25/07/2021,5655
26/07/2021,6012
27/07/2021,6107
28/07/2021,6116
29/07/2021,5996
30/07/2021,6029
31/07/2021,5968
01/08/2021,5992
02/08/2021,6225
03/08/2021,6016
04/08/2021,5802
05/08/2021,5765
06/08/2021,5763
07/08/2021,5714
08/08/2021,5867
09/08/2021,6028
10/08/2021,6030
11/08/2021,6015
12/08/2021,5970
13/08/2021,5998
14/08/2021,5895
15/08/2021,6056
16/08/2021,6393
17/08/2021,6417
18/08/2021,6477
19/08/2021,6521
20/08/2021,6533
21/08/2021,6544
22/08/2021,6762
23/08/2021,7032
24/08/2021,6974
25/08/2021,7000
26/08/2021,7045
27/08/2021,7099
28/08/2021,6994
29/08/2021,7124
30/08/2021,7353
31/08/2021,7691
01/09/2021,7695
02/09/2021,7635
03/09/2021,7685
04/09/2021,7570
05/09/2021,7765
06/09/2021,8052
07/09/2021,7996
08/09/2021,8152
09/09/2021,8161
10/09/2021,8332
11/09/2021,8160
12/09/2021,8270
13/09/2021,8493
14/09/2021,8417
15/09/2021,8424
16/09/2021,8142
17/09/2021,7933
18/09/2021,7722
19/09/2021,7773
20/09/2021,7824
21/09/2021,7651
22/09/2021,7444
23/09/2021,7198
24/09/2021,6946
25/09/2021,6992
26/09/2021,6855
27/09/2021,7085
28/09/2021,7067
29/09/2021,6953
30/09/2021,6809
01/10/2021,6642
02/10/2021,6493
03/10/2021,6650
04/10/2021,6841
05/10/2021,6916
06/10/2021,6901
07/10/2021,6851
08/10/2021,6830
09/10/2021,6774
10/10/2021,6945
11/10/2021,7100
12/10/2021,7130
13/10/2021,7146
14/10/2021,7203
15/10/2021,7216
16/10/2021,7242
17/10/2021,7514
18/10/2021,7883
19/10/2021,8033
20/10/2021,8288
21/10/2021,8383
22/10/2021,8368
23/10/2021,8363
24/10/2021,8532
25/10/2021,8856
26/10/2021,8975
27/10/2021,9082
28/10/2021,9161
29/10/2021,9259
30/10/2021,9312
31/10/2021,9464
01/11/2021,9710
02/11/2021,9692
03/11/2021,9476
04/11/2021,9334
05/11/2021,9133
06/11/2021,8889
07/11/2021,8909
08/11/2021,9058
09/11/2021,9010
10/11/2021,8939
11/11/2021,8787
12/11/2021,8695
13/11/2021,8558
14/11/2021,8645
15/11/2021,8803
16/11/2021,8526
17/11/2021,8277
18/11/2021,8178
19/11/2021,8126
20/11/2021,8006
21/11/2021,8101
22/11/2021,8197
23/11/2021,7983
24/11/2021,7736
25/11/2021,7727
26/11/2021,7628
27/11/2021,7473
28/11/2021,7504
29/11/2021,7735
30/11/2021,7746
01/12/2021,7418
02/12/2021,7490
03/12/2021,7398
04/12/2021,7254
05/12/2021,7357
06/12/2021,7466
07/12/2021,7451
08/12/2021,7470
09/12/2021,7539
10/12/2021,7493
11/12/2021,7459
12/12/2021,7582
13/12/2021,7802
14/12/2021,7802
15/12/2021,7727
16/12/2021,7747
17/12/2021,7625
18/12/2021,7561
19/12/2021,7718
20/12/2021,7962
21/12/2021,8178
22/12/2021,8400
23/12/2021,8436
24/12/2021,8664
25/12/2021,8474
26/12/2021,8893
27/12/2021,9915
28/12/2021,11077
29/12/2021,12125
30/12/2021,13316
31/12/2021,14349
01/01/2022,14679
02/01/2022,15314
03/01/2022,16506
04/01/2022,17499
05/01/2022,18221
06/01/2022,18698
07/01/2022,18880
08/01/2022,18816
09/01/2022,19258
10/01/2022,20065
11/01/2022,19967
12/01/2022,19939
13/01/2022,19775
14/01/2022,19560
15/01/2022,19314
16/01/2022,19438
17/01/2022,19673
18/01/2022,19236
19/01/2022,18739
20/01/2022,18228
21/01/2022,17789
22/01/2022,17156
23/01/2022,17123
24/01/2022,17405
25/01/2022,16822
26/01/2022,16746
27/01/2022,16406
28/01/2022,16181
29/01/2022,15307
30/01/2022,15593
31/01/2022,15949
01/02/2022,15501
02/02/2022,15112
03/02/2022,14925
04/02/2022,14494
05/02/2022,14014
06/02/2022,13913
07/02/2022,14107
08/02/2022,13858
09/02/2022,13421
10/02/2022,13028
11/02/2022,12609
12/02/2022,12271
13/02/2022,12323
14/02/2022,12555
15/02/2022,12352
16/02/2022,12014
17/02/2022,11863
18/02/2022,11491
19/02/2022,11511
20/02/2022,11436
21/02/2022,11630
22/02/2022,11343
23/02/2022,11299
24/02/2022,11008
25/02/2022,10874
26/02/2022,10597
27/02/2022,10752
28/02/2022,10980
01/03/2022,10943
02/03/2022,10872
03/03/2022,10730
04/03/2022,10927
05/03/2022,10925
06/03/2022,11071
07/03/2022,11546
08/03/2022,11869
09/03/2022,11989
10/03/2022,12186
11/03/2022,12362
12/03/2022,12674
13/03/2022,13051
14/03/2022,13801
15/03/2022,14325
16/03/2022,14495
17/03/2022,14943
18/03/2022,15179
19/03/2022,15253
20/03/2022,15710
21/03/2022,16505
22/03/2022,16923
23/03/2022,17159
24/03/2022,17634
25/03/2022,17884
26/03/2022,17825
27/03/2022,18551
28/03/2022,19320
29/03/2022,19567
30/03/2022,19707
31/03/2022,19755
01/04/2022,20091
02/04/2022,19748
03/04/2022,20104
04/04/2022,20558
05/04/2022,20542
06/04/2022,20562
07/04/2022,20468
08/04/2022,20186
09/04/2022,19612
10/04/2022,19755
11/04/2022,20193
12/04/2022,19891
13/04/2022,19134
14/04/2022,18611
15/04/2022,17910
16/04/2022,17830
17/04/2022,17661
18/04/2022,17562
19/04/2022,18012
20/04/2022,17469
21/04/2022,16526
22/04/2022,15991
23/04/2022,15176
24/04/2022,15067
25/04/2022,14881
26/04/2022,14189
27/04/2022,13757
28/04/2022,13126
29/04/2022,12556
30/04/2022,12018
01/05/2022,11803
02/05/2022,11803
03/05/2022,11697
04/05/2022,11357
05/05/2022,10863
06/05/2022,10344
07/05/2022,9842
08/05/2022,9787
09/05/2022,9705
10/05/2022,9385
11/05/2022,8990
12/05/2022,8529
13/05/2022,8228
14/05/2022,7889
15/05/2022,7873
16/05/2022,7690
17/05/2022,7345
18/05/2022,6968
19/05/2022,6819
20/05/2022,6609
21/05/2022,6391
22/05/2022,6346
23/05/2022,6335
24/05/2022,5967
25/05/2022,5822
26/05/2022,5695
27/05/2022,5446
28/05/2022,5258
29/05/2022,5213
30/05/2022,5300
31/05/2022,5265
01/06/2022,5026
02/06/2022,5055
03/06/2022,5072
04/06/2022,5038
05/06/2022,5195
06/06/2022,5388
07/06/2022,5422
08/06/2022,5414
09/06/2022,5444
10/06/2022,5647
11/06/2022,5654
12/06/2022,5833
13/06/2022,6109
14/06/2022,6234
15/06/2022,6422
16/06/2022,6618
17/06/2022,6712
18/06/2022,6914
19/06/2022,7220
20/06/2022,7608
21/06/2022,7927
22/06/2022,8237
23/06/2022,8511
24/06/2022,8946
25/06/2022,9248
26/06/2022,9828
27/06/2022,10298
28/06/2022,10645
29/06/2022,11209
30/06/2022,11608
01/07/2022,12158
02/07/2022,12476
03/07/2022,12887
04/07/2022,13681
05/07/2022,14166
06/07/2022,14651
07/07/2022,15032
08/07/2022,15451
09/07/2022,15633
10/07/2022,16132
11/07/2022,16595
12/07/2022,16987
13/07/2022,17113
14/07/2022,17205
15/07/2022,17326
16/07/2022,16999
17/07/2022,17101
18/07/2022,17225
19/07/2022,17027
20/07/2022,16721
21/07/2022,16496
22/07/2022,16226
23/07/2022,15388
24/07/2022,15468
25/07/2022,15397
26/07/2022,14956
27/07/2022,14653
28/07/2022,14097
29/07/2022,13736
30/07/2022,13038
31/07/2022,12909
01/08/2022,12866
02/08/2022,12551
03/08/2022,12139
04/08/2022,11748
05/08/2022,11309
06/08/2022,10902
07/08/2022,10844
08/08/2022,10927
09/08/2022,10594
10/08/2022,10439
11/08/2022,10251
12/08/2022,9968
13/08/2022,9901
14/08/2022,10053
15/08/2022,10031
16/08/2022,9744
17/08/2022,9351
18/08/2022,9211
19/08/2022,8802
20/08/2022,8482
21/08/2022,8406
22/08/2022,8501
23/08/2022,8032
24/08/2022,7844
25/08/2022,7758
26/08/2022,7256
27/08/2022,7198
28/08/2022,7122
29/08/2022,7179
30/08/2022,7171
31/08/2022,7071
01/09/2022,6978
02/09/2022,6731
03/09/2022,6555
04/09/2022,6595
05/09/2022,6587
06/09/2022,6479
07/09/2022,6301
08/09/2022,6244
09/09/2022,6124
10/09/2022,5962
11/09/2022,6001
12/09/2022,5947
13/09/2022,5903
14/09/2022,5830
15/09/2022,5868
16/09/2022,5835
17/09/2022,5730
18/09/2022,5836
19/09/2022,6006
20/09/2022,6171
21/09/2022,6474
22/09/2022,6760
23/09/2022,7027
24/09/2022,7253
25/09/2022,7538
26/09/2022,8008
27/09/2022,8374
28/09/2022,8640
29/09/2022,8906
30/09/2022,9346
01/10/2022,9784
02/10/2022,10135
03/10/2022,10657
04/10/2022,11168
05/10/2022,11546
06/10/2022,11869
07/10/2022,12059
08/10/2022,12063
09/10/2022,12253
10/10/2022,12506
11/10/2022,12598
12/10/2022,12721
13/10/2022,12629
14/10/2022,12465
15/10/2022,12581
16/10/2022,12687
17/10/2022,12801
18/10/2022,12676
19/10/2022,12437
20/10/2022,12157
21/10/2022,11965
22/10/2022,11799
23/10/2022,11784
24/10/2022,11714
25/10/2022,11346
26/10/2022,11110
27/10/2022,10797
28/10/2022,10573
29/10/2022,10174
30/10/2022,10081
31/10/2022,9862
01/11/2022,9342
02/11/2022,8960
03/11/2022,8604
04/11/2022,8269
05/11/2022,7974
06/11/2022,7811
07/11/2022,7611
08/11/2022,7426
09/11/2022,7186
10/11/2022,7057
11/11/2022,6859
12/11/2022,6743
13/11/2022,6742
14/11/2022,6754
15/11/2022,6599
16/11/2022,6434
17/11/2022,6242
18/11/2022,6135
19/11/2022,6052
20/11/2022,6065
21/11/2022,6046
22/11/2022,6009
23/11/2022,5950
24/11/2022,6020
25/11/2022,5951
26/11/2022,5876
27/11/2022,5959
28/11/2022,6101
29/11/2022,6169
30/11/2022,6336
01/12/2022,6383
02/12/2022,6423
03/12/2022,6420
04/12/2022,6564
05/12/2022,6723
06/12/2022,6844
07/12/2022,7010
08/12/2022,7174
09/12/2022,7364
10/12/2022,7533
11/12/2022,7710
12/12/2022,7862
13/12/2022,8126
14/12/2022,8523
15/12/2022,8827
16/12/2022,9092
17/12/2022,9355
18/12/2022,9698
19/12/2022,10140
20/12/2022,10545
21/12/2022,10878
22/12/2022,11228
23/12/2022,11348
24/12/2022,11362
25/12/2022,11304
26/12/2022,11549
27/12/2022,11709
28/12/2022,11944
29/12/2022,12081
30/12/2022,12142
31/12/2022,12000
01/01/2023,12126
02/01/2023,12170
03/01/2023,12060
04/01/2023,12051
05/01/2023,11728
06/01/2023,11222
07/01/2023,11066
08/01/2023,10916
09/01/2023,10852
10/01/2023,10450
11/01/2023,10053
12/01/2023,9688
13/01/2023,9317
14/01/2023,8966
15/01/2023,8789
16/01/2023,8688
17/01/2023,8554
18/01/2023,8113
19/01/2023,7758
20/01/2023,7554
21/01/2023,7297
22/01/2023,7268
23/01/2023,7365
24/01/2023,7164
25/01/2023,7108
26/01/2023,7098
27/01/2023,7101
28/01/2023,7131
29/01/2023,7212
30/01/2023,7339
31/01/2023,7351
01/02/2023,7395
02/02/2023,7512
03/02/2023,7578
04/02/2023,7540
05/02/2023,7647
06/02/2023,7795
07/02/2023,7737
